state,x,y
Andhra Pradesh,-66.0, -147.0
Arunachal Pradesh,256.0, 181.0
Assam,211.0, 126.0
Bihar,55.0, 105.0
Chhattisgarh,-11.0, -2.0
Goa,-185.0, -145.0
Gujarat,-251.0, 30.0
Haryana,-149.0, 185.0
Himachal Pradesh,-113.0, 245.0
Jharkhand,44.0, 50.0
Karnataka,-158.0, -169.0
Kerala,-138.0, -261.0
Madhya Pradesh,-126.0, 35.0
Maharashtra,-185.0, -60.0
Manipur,243.0, 85.0
Meghalaya,165.0, 97.0
Mizoram,222.0, 43.0
Nagaland,252.0, 119.0
Odisha,22.0, -25.0
Punjab,-164.0, 219.0
Rajasthan,-251.0, 118.0
Sikkim,120.0, 147.0
Tamil Nadu,-101.0, -249.0
Telangana,-98.0, -84.0
Tripura,191.0, 57.0
Uttar Pradesh,-91.0, 130.0
Uttarakhand,-92.0, 204.0
West Bengal,99.0, 43.0
Andaman and Nicobar Islands,223.0, -225.0
Chandigarh,-126.0, 213.0
Dadra and Nagar Haveli and Daman and Diu,-254.0, -18.0
Lakshadweep,-229.0, -278.0
Delhi,-113.0, 163.0
Puducherry,-56.0, -229.0
Ladakh,-110.0, 313.0
Jammu and Kashmir,-179.0, 287.0